module,theory_id,classification_basis,notes
DavisKahan.SpectralTheory.ClosedOperator.MathlibBridge,unbounded_selfadjoint_spectral,human-reviewed exact module assignment,
DavisKahan.SpectralTheory.Complexification.BoundedGapProjection,real_complex_transfer,human-reviewed exact module assignment,
DavisKahan.SpectralTheory.Complexification.Subspace,real_complex_transfer,human-reviewed exact module assignment,
DavisKahan.SpectralTheory.OperatorAngle,operator_angle_double_angle,human-reviewed exact module assignment,
DavisKahan.SpectralTheory.Real.SpectralRestriction,unbounded_selfadjoint_spectral,human-reviewed exact module assignment,
DavisKahan.SpectralTheory.ReducingSubspace.Restriction,unbounded_selfadjoint_spectral,human-reviewed exact module assignment,
DavisKahan.SpectralTheory.SpectralRestriction,unbounded_selfadjoint_spectral,human-reviewed exact module assignment,
DavisKahan.SpectralTheory.SpectralRestrictionOperator,unbounded_selfadjoint_spectral,human-reviewed exact module assignment,
DavisKahan.Sylvester.ClosedSylvesterEquation,sylvester_intertwiner,human-reviewed exact module assignment,
DavisKahan.Sylvester.Gap,sylvester_intertwiner,human-reviewed exact module assignment,
DavisKahan.Sylvester.RealUnbounded,sylvester_intertwiner,human-reviewed exact module assignment,
DavisKahan.Sylvester.ScalarGeneric,sylvester_intertwiner,human-reviewed exact module assignment,
DavisKahan.Sylvester.Spectrum,sylvester_intertwiner,human-reviewed exact module assignment,
DavisKahan.TanTheta.Theorem63FiniteSource,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.TanTheta.Theorem63InfiniteTrial,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.TanTheta.Theorem63UnboundedCompression,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.TanTheta.Theorem63UnboundedInfiniteTrial,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.TanTheta.UnboundedSpectrum,dk_result_layer,human-reviewed exact module assignment,
ForTauCeti.Analysis.Convex.Majorization,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.AlignedBasis,hilbert_subspace_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.AngleGeometry,hilbert_subspace_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.BasisDiagonal,spectral_gap_variational,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.BasisSpan,hilbert_subspace_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.DiagonalMeasure,borel_spectral_calculus,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.MultiplicityModel,borel_spectral_calculus,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.Operator,borel_spectral_calculus,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.PVM,borel_spectral_calculus,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.Polarization,borel_spectral_calculus,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Complexification.Basic,real_complex_transfer,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Complexification.FunctionalCalculus,real_complex_transfer,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.DoubleAngle.UnboundedReflection,operator_angle_double_angle,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.EigenblockSpan,hilbert_subspace_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.FrameFactorization,singular_subspace_gram_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Gram.Matrix,singular_subspace_gram_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Gram.Operator,singular_subspace_gram_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.KyFan,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.LinearPMap.Closed,unbounded_selfadjoint_spectral,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.LinearPMap.Complexification,real_complex_transfer,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.LinearPMap.Complexification.SpectralDescent,real_complex_transfer,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.LinearPMap.Resolvent,unbounded_selfadjoint_spectral,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.LinearPMap.ResolventBound,unbounded_selfadjoint_spectral,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.LinearPMap.SelfAdjointResolvent,unbounded_selfadjoint_spectral,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.LinearPMap.SpectralMeasure.Construction,unbounded_selfadjoint_spectral,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.LinearPMap.Sylvester,sylvester_intertwiner,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.OperatorModulus,operator_ideals_uinorms,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.OperatorUnitaryEquiv,direct_rotation_two_projection,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Polar.Decomposition,direct_rotation_two_projection,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Polar.PartialIsometry,direct_rotation_two_projection,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.PrincipalAngleSequence,hilbert_subspace_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.PrincipalAngles,hilbert_subspace_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.PrincipalSineSequence,hilbert_subspace_geometry,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.ProjValMeasure.Basic,borel_spectral_calculus,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.ProjValMeasure.Subspace,borel_spectral_calculus,human-reviewed exact module assignment,
ForTauCeti.Analysis.InnerProductSpace.Projection.Blocks,hilbert_subspace_geometry,human-reviewed exact module assignment,
